goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
(∀x. P x ⟶ Q x) ∧ (∃x. P x) ⟶ (∃x. Q x),False,196.5683,auto,ollama:qwen2.5-coder:7b,242,0,0,True,True
(∀x. P x ⟷ Q x) ⟶ ((∀x. R x ⟶ P x) ⟷ (∀x. R x ⟶ Q x)),False,209.6179,auto,ollama:qwen2.5-coder:7b,268,0,0,True,True
(∀x. P x) ⟶ ((∀x. Q x ⟶ R x) ⟶ (∀x. P x ∧ Q x ⟶ R x)),False,208.9279,auto,ollama:qwen2.5-coder:7b,414,0,0,True,True
(∃x. P x ∧ (Q x ⟶ R x)) ⟶ ((∃x. P x ∧ Q x) ⟶ (∃x. R x)),False,69.7151,auto,ollama:qwen2.5-coder:7b,430,0,1,False,False
(if A then f x else f y) = f (if A then x else y),False,200.8113,auto,ollama:qwen2.5-coder:7b,221,0,0,True,True
(if A then (B ⟶ C) else True) ⟷ (¬ A ∨ (B ⟶ C)),False,88.5065,auto,ollama:qwen2.5-coder:7b,183,0,1,False,False
(∀x. f x = g x) ⟶ (∃!x. f x = a) ⟶ (∃!x. g x = a),False,94.6737,auto,ollama:qwen2.5-coder:7b,325,0,1,False,False
(∃!x. P x) ⟶ (∀x y. P x ∧ P y ⟶ x = y),False,205.4542,auto,ollama:qwen2.5-coder:7b,171,0,0,True,True
finite A ⟹ card (A ∪ B) = card A + card (B - A),False,211.4855,auto,ollama:qwen2.5-coder:7b,390,1,0,True,True
finite A ⟹ card (A ∩ B) + card (A - B) = card A - card (A ∩ (B - A)),False,209.5260,auto,ollama:qwen2.5-coder:7b,552,0,0,True,True
finite A ⟹ finite B ⟹ A ∩ B = {} ⟹ card (A ∪ B) = card A + card B,False,200.9736,auto,ollama:qwen2.5-coder:7b,352,0,0,True,True
finite A ⟹ card {x∈A. P x ∧ Q x} + card {x∈A. P x ∧ ¬ Q x} = card {x∈A. P x},False,201.1125,auto,ollama:qwen2.5-coder:7b,620,0,0,True,True
finite A ⟹ card {x∈A. P x} + card {x∈A. ¬ P x} = card A,False,206.9488,auto,ollama:qwen2.5-coder:7b,423,1,0,True,True
finite A ⟹ inj_on f A ⟹ card (f ` A) = card A,False,201.3014,auto,ollama:qwen2.5-coder:7b,799,0,0,True,True
finite A ⟹ card ((A × B) ∩ (C × D)) = card (A ∩ C) * card (B ∩ D),False,207.8702,auto,ollama:qwen2.5-coder:7b,508,0,0,True,True
finite A ⟹ finite B ⟹ card (A × B - C) = card (A × B) - card (C ∩ (A × B)),False,201.0659,auto,ollama:qwen2.5-coder:7b,275,0,0,True,True
finite A ⟹ sum (λx. (if x∈B then (1::nat) else 0)) A = card (A ∩ B),False,203.0632,auto,ollama:qwen2.5-coder:7b,344,0,0,True,True
finite A ⟹ sum (λx. (if P x then (1::nat) else 0)) A = card {x∈A. P x},False,201.1068,auto,ollama:qwen2.5-coder:7b,467,0,0,True,True
finite A ⟹ sum (λx. (if x∈A then (0::int) else 0)) A = 0,False,207.5427,auto,ollama:qwen2.5-coder:7b,336,0,0,True,True
finite A ⟹ sum (λx. c::int) A = c * int (card A),False,83.5179,auto,ollama:qwen2.5-coder:7b,538,0,1,False,False
finite A ⟹ sum (λx. f x + g x::int) A = sum f A + sum g A,False,202.0786,auto,ollama:qwen2.5-coder:7b,253,1,0,True,True
finite A ⟹ (∀x∈A. f x = g x) ⟶ sum f A = (sum g A::int),False,201.4449,auto,ollama:qwen2.5-coder:7b,429,0,0,True,True
finite A ⟹ card (A - {x}) = (if x∈A then card A - 1 else card A),False,201.3054,auto,ollama:qwen2.5-coder:7b,301,0,0,True,True
finite A ⟹ card (insert x A) = (if x∈A then card A else Suc (card A)),False,49.7235,auto,ollama:qwen2.5-coder:7b,495,0,1,False,False
"finite A ⟹ finite B ⟹ card { (x,y)∈A×B. P x ∧ Q y } ≤ card A * card B",False,206.3532,auto,ollama:qwen2.5-coder:7b,430,0,0,True,True
